#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-34.3834083, -15.5412774, -12.3353002, -0.5590106, -0.6670602, -0.1919682, -0.4535259,  0.5503791, -0.5453114, -0.3869637, -0.1853403,  0.3978225, -0.4257558,  0.5652895,  0.0872681, -0.2104773, -0.0935293,  0.5564118, -0.2267073, -0.0177201, -0.6207343, -0.0366344, -0.6956605,  0.0649747, -0.1260352, -0.9130061,  0.2552962)    0    0  22.74835249  8 1.080  15.89682455
(-33.8356962, -16.1540036, -5.3417480, -0.2702987, -0.9524733,  0.1349208,  0.0391112,  0.0341568,  0.4157779, -0.0816774, -0.4379262,  0.8990158, -0.6207617,  0.1067917, -0.2204644, -0.8509963, -0.0958202,  0.5716174,  0.0226599, -0.1498699,  0.3024164, -0.1509207, -0.2203033, -0.0158037,  0.3276891, -0.0935373,  0.1526242)    0    0  23.36592922  2 5.000  15.65433190
(-31.4454616, -20.0896999, -4.8640342, -0.4218074,  0.1326657, -0.0918440,  0.8922124,  0.3753342, -0.7034604, -0.4986708, -0.7104341, -0.5653061,  0.2809354,  0.4398662, -0.4419832, -0.9960730,  1.1364814,  0.7295927,  1.3361318,  0.2990623,  0.4283625,  0.6185176,  0.5533753, -0.3447395,  1.1174955,  0.2326547,  0.5449876)    0    0  29.61224273  6 4.360  19.86117834
(-33.1509995, -14.6421207, -4.3184144, -0.2728457, -0.9515590,  0.1368210,  0.0367558,  0.1583732,  0.6247905, -0.0852952, -0.4216964,  0.7378784, -0.6768954, -0.0995304, -0.4860328, -0.8122624, -0.1405749,  0.6019176,  0.2907653, -0.2762802,  0.3583282, -0.4303005, -0.3770130, -0.1300015,  0.5682213, -0.4331641,  0.2861852)    0    0   4.07635441 12 2.200   5.84950436
(-40.9630657, -9.0355867, -0.7694608,  0.8279228, -0.5124687,  0.1344018, -0.1839996,  0.7820218, -1.2632313,  0.4430715, -0.8997118,  2.9672004,  0.1358865, -0.6153769, -1.0002920,  0.7314364, -0.1244584, -0.5798580,  1.1029490,  0.5432000, -0.7184229,  0.8551194,  0.8292863,  1.9086360,  0.6340724,  0.2720364,  0.2590982)    0    0  22.23521643  7 1.400  15.25086846
(-33.5605293, -17.5983410, -8.8747777, -0.5662901, -0.5493345, -0.3238747, -0.5221612, -0.0542197, -0.7125056, -0.6206618, -0.4153555,  0.0670710, -1.6981209, -0.0863328,  0.4298005, -0.4052031,  0.0801892,  1.3630806,  0.2861603, -0.4547620, -0.6297412,  0.4128379, -0.6788573,  0.2120219,  0.1680776, -1.1206449,  0.1906819)    0    0  20.17637355  5 0.760  13.62580132
(-33.8586812, -16.2259731, -5.1863620, -0.2702795, -0.9524901,  0.1348338,  0.0391324, -0.2683588,  0.3536508, -0.3288017, -0.4357015,  0.9948294, -0.5682759,  0.0660600, -0.2272144, -0.8746609, -0.1330030,  0.6054572,  0.2522988, -0.2686331,  0.3399698, -0.4073452, -0.3204809, -0.1128026,  0.5629182, -0.3617296,  0.2545729)    0    0  23.21084389  3 5.000  15.42974025
(-34.3619911, -15.6481999, -12.0924801, -0.5589420, -0.6673866, -0.1915349, -0.4533137,  0.3261128, -0.4037058, -0.3837333, -0.2094381,  0.5566307, -0.3337644,  0.3818628, -0.1689690, -0.1716387, -0.2528650, -0.1419058, -0.3247790, -0.0262434, -0.3087352,  0.1830482, -0.7721253,  0.0836071, -0.4213553, -0.6270784,  0.1447697)    0    0  23.10828091  4 3.640  15.96160495
(-30.9009647, -19.2486157, -8.8438476,  0.9455359,  0.1786742, -0.2650770,  0.0614127,  0.2153375, -0.1012371, -0.4118586, -0.2378482,  0.8693862, -1.1924193,  0.7061789,  0.2051894,  0.0569884,  1.3779860, -0.0257045, -0.2090852,  0.3170508,  0.9644766, -1.1157640, -0.7997640,  0.0237868, -0.6852430, -0.4526639,  0.8374694)    0    0  21.80482176 10 0.200  16.04863935
(-31.5636332, -15.3359653, -0.2522996, -0.2307954,  0.6577981, -0.4538788,  0.5550038,  0.5958925,  0.6056228,  0.1055246,  0.5187800, -0.0893488, -0.3150911, -0.5390481,  0.2061767,  0.8141302, -0.2581178,  0.0870519, -2.3395420, -0.1386221,  1.7410993, -0.3524637, -0.9207618,  0.4820382, -0.6475839, -1.2136548,  0.9115761)    0    0  11.45757652  3 3.800   7.64934843
